dataset,source,page_title,text_id,raw_text,cleaned_text,word_count
climate_processes,wikipedia,Monsoon,Monsoon_0,"A monsoon () is traditionally a seasonal reversing wind accompanied by corresponding changes in precipitation but is now used to describe seasonal changes in atmospheric circulation and precipitation associated with annual latitudinal oscillation of the Intertropical Convergence Zone (ITCZ) between its limits to the north and south of the equator. Usually, the term monsoon is used to refer to the rainy phase of a seasonally changing pattern, although technically there is also a dry phase. The term is also sometimes used to describe locally heavy but short-term rains.","A monsoon () is traditionally a seasonal reversing wind accompanied by corresponding changes in precipitation but is now used to describe seasonal changes in atmospheric circulation and precipitation associated with annual latitudinal oscillation of the Intertropical Convergence Zone (ITCZ) between its limits to the north and south of the equator. Usually, the term monsoon is used to refer to the rainy phase of a seasonally changing pattern, although technically there is also a dry phase. The term is also sometimes used to describe locally heavy but short-term rains.",88
climate_processes,wikipedia,Monsoon,Monsoon_1,"Strengthening of the Asian monsoon has been linked to the uplift of the Tibetan Plateau after the collision of the Indian subcontinent and Asia around 50 million years ago. Because of studies of records from the Arabian Sea and that of the wind-blown dust in the Loess Plateau of China, many geologists believe the monsoon first became strong around 8 million years ago. More recently, studies of plant fossils in China and new long-duration sediment records from the South China Sea led to a timing of the monsoon beginning 15–20 million years ago and linked to early Tibetan uplift. Testing of this hypothesis awaits deep ocean sampling by the Integrated Ocean Drilling Program. The monsoon has varied significantly in strength since this time, largely linked to global climate change, especially the cycle of the Pleistocene ice ages. A study of Asian monsoonal climate cycles from 123,200 to 121,210 years BP, during the Eemian interglacial, suggests that they had an average duration of around 64 years, with the minimum duration being around 50 years and the maximum approximately 80 years, similar to today.","Strengthening of the Asian monsoon has been linked to the uplift of the Tibetan Plateau after the collision of the Indian subcontinent and Asia around 50 million years ago. Because of studies of records from the Arabian Sea and that of the wind-blown dust in the Loess Plateau of China, many geologists believe the monsoon first became strong around 8 million years ago. More recently, studies of plant fossils in China and new long-duration sediment records from the South China Sea led to a timing of the monsoon beginning 15–20 million years ago and linked to early Tibetan uplift. Testing of this hypothesis awaits deep ocean sampling by the Integrated Ocean Drilling Program. The monsoon has varied significantly in strength since this time, largely linked to global climate change, especially the cycle of the Pleistocene ice ages. A study of Asian monsoonal climate cycles from 123,200 to 121,210 years BP, during the Eemian interglacial, suggests that they had an average duration of around 64 years, with the minimum duration being around 50 years and the maximum approximately 80 years, similar to today.",182
climate_processes,wikipedia,Monsoon,Monsoon_2,"A study of marine plankton suggested that the South Asian Monsoon (SAM) strengthened around 5 million years ago. Then, during ice periods, the sea level fell and the Indonesian Seaway closed. When this happened, cold waters in the Pacific were impeded from flowing into the Indian Ocean. It is believed that the resulting increase in sea surface temperatures in the Indian Ocean increased the intensity of monsoons. In 2018, a study of the SAM's variability over the past million years found that precipitation resulting from the monsoon was significantly reduced during glacial periods compared to interglacial periods like the present day. The Indian Summer Monsoon (ISM) underwent several intensifications during the warming following the Last Glacial Maximum, specifically during the time intervals corresponding to 16,100–14,600 BP, 13,600–13,000 BP, and 12,400–10,400 BP as indicated by vegetation changes in the Tibetan Plateau displaying increases in humidity brought by an intensifying ISM. Though the ISM was relatively weak for much of the Late Holocene, significant glacial accumulation in the Himalayas still occurred due to cold temperatures brought by westerlies from the west.","A study of marine plankton suggested that the South Asian Monsoon (SAM) strengthened around 5 million years ago. Then, during ice periods, the sea level fell and the Indonesian Seaway closed. When this happened, cold waters in the Pacific were impeded from flowing into the Indian Ocean. It is believed that the resulting increase in sea surface temperatures in the Indian Ocean increased the intensity of monsoons. In 2018, a study of the SAM's variability over the past million years found that precipitation resulting from the monsoon was significantly reduced during glacial periods compared to interglacial periods like the present day. The Indian Summer Monsoon (ISM) underwent several intensifications during the warming following the Last Glacial Maximum, specifically during the time intervals corresponding to 16,100–14,600 BP, 13,600–13,000 BP, and 12,400–10,400 BP as indicated by vegetation changes in the Tibetan Plateau displaying increases in humidity brought by an intensifying ISM. Though the ISM was relatively weak for much of the Late Holocene, significant glacial accumulation in the Himalayas still occurred due to cold temperatures brought by westerlies from the west.",179
climate_processes,wikipedia,Monsoon,Monsoon_3,"Five episodes during the Quaternary at 2.22 Ma (PL-1), 1.83 Ma (PL-2), 0.68 Ma (PL-3), 0.45 Ma (PL-4) and 0.04 Ma (PL-5) were identified which showed a weakening of the Leeuwin Current (LC). The weakening of the LC would have an effect on the sea surface temperature (SST) field in the Indian Ocean, as the Indonesian Throughflow generally warms the Indian Ocean. Thus these five intervals could probably be those of considerable lowering of SST in the Indian Ocean and would have influenced Indian monsoon intensity. During the weak LC, there is the possibility of reduced intensity of the Indian winter monsoon and strong summer monsoon, because of change in the Indian Ocean dipole due to reduction in net heat input to the Indian Ocean through the Indonesian Throughflow. Thus a better understanding of the possible links between El Niño, Western Pacific Warm Pool, Indonesian Throughflow, wind pattern off western Australia, and ice volume expansion and contraction can be obtained by studying the behaviour of the LC during Quaternary at close stratigraphic intervals.","Five episodes during the Quaternary at 2.22 Ma (PL-1), 1.83 Ma (PL-2), 0.68 Ma (PL-3), 0.45 Ma (PL-4) and 0.04 Ma (PL-5) were identified which showed a weakening of the Leeuwin Current (LC). The weakening of the LC would have an effect on the sea surface temperature (SST) field in the Indian Ocean, as the Indonesian Throughflow generally warms the Indian Ocean. Thus these five intervals could probably be those of considerable lowering of SST in the Indian Ocean and would have influenced Indian monsoon intensity. During the weak LC, there is the possibility of reduced intensity of the Indian winter monsoon and strong summer monsoon, because of change in the Indian Ocean dipole due to reduction in net heat input to the Indian Ocean through the Indonesian Throughflow. Thus a better understanding of the possible links between El Niño, Western Pacific Warm Pool, Indonesian Throughflow, wind pattern off western Australia, and ice volume expansion and contraction can be obtained by studying the behaviour of the LC during Quaternary at close stratigraphic intervals.",173
climate_processes,wikipedia,Monsoon,Monsoon_4,"Monsoons were once considered as a large-scale sea breeze caused by higher temperature over land than in the ocean. This is no longer considered as the cause and the monsoon is now considered a planetary-scale phenomenon involving the annual migration of the Intertropical Convergence Zone between its northern and southern limits. The limits of the ITCZ vary according to the land–sea heating contrast and it is thought that the northern extent of the monsoon in South Asia is influenced by the high Tibetan Plateau. These temperature imbalances happen because oceans and land absorb heat in different ways. Over oceans, the air temperature remains relatively stable for two reasons: water has a relatively high heat capacity (3.9 to 4.2 J g−1 K−1), and because both conduction and convection will equilibrate a hot or cold surface with deeper water (up to 50 metres). In contrast, dirt, sand, and rocks have lower heat capacities (0.19 to 0.35 J g−1 K−1), and they can only transmit heat into the earth by conduction and not by convection. Therefore, bodies of water stay at a more even temperature, while land temperatures are more variable.","Monsoons were once considered as a large-scale sea breeze caused by higher temperature over land than in the ocean. This is no longer considered as the cause and the monsoon is now considered a planetary-scale phenomenon involving the annual migration of the Intertropical Convergence Zone between its northern and southern limits. The limits of the ITCZ vary according to the land–sea heating contrast and it is thought that the northern extent of the monsoon in South Asia is influenced by the high Tibetan Plateau. These temperature imbalances happen because oceans and land absorb heat in different ways. Over oceans, the air temperature remains relatively stable for two reasons: water has a relatively high heat capacity (3.9 to 4.2 J g−1 K−1), and because both conduction and convection will equilibrate a hot or cold surface with deeper water (up to 50 metres). In contrast, dirt, sand, and rocks have lower heat capacities (0.19 to 0.35 J g−1 K−1), and they can only transmit heat into the earth by conduction and not by convection. Therefore, bodies of water stay at a more even temperature, while land temperatures are more variable.",188
climate_processes,wikipedia,Monsoon,Monsoon_5,"During warmer months sunlight heats the surfaces of both land and oceans, but land temperatures rise more quickly. As the land's surface becomes warmer, the air above it expands and an area of low pressure develops. Meanwhile, the ocean remains at a lower temperature than the land, and the air above it retains a higher pressure. This difference in pressure causes sea breezes to blow from the ocean to the land, bringing moist air inland. This moist air rises to a higher altitude over land and then it flows back toward the ocean (thus completing the cycle). However, when the air rises, and while it is still over the land, the air cools. This decreases the air's ability to hold water, and this causes precipitation over the land. This is why summer monsoons cause so much rain over land.","During warmer months sunlight heats the surfaces of both land and oceans, but land temperatures rise more quickly. As the land's surface becomes warmer, the air above it expands and an area of low pressure develops. Meanwhile, the ocean remains at a lower temperature than the land, and the air above it retains a higher pressure. This difference in pressure causes sea breezes to blow from the ocean to the land, bringing moist air inland. This moist air rises to a higher altitude over land and then it flows back toward the ocean (thus completing the cycle). However, when the air rises, and while it is still over the land, the air cools. This decreases the air's ability to hold water, and this causes precipitation over the land. This is why summer monsoons cause so much rain over land.",139
climate_processes,wikipedia,Monsoon,Monsoon_6,"In the colder months, the cycle is reversed. Then the land cools faster than the oceans and the air over the land has higher pressure than air over the ocean. This causes the air over the land to flow to the ocean. When humid air rises over the ocean, it cools, and this causes precipitation over the oceans. (The cool air then flows towards the land to complete the cycle.)","In the colder months, the cycle is reversed. Then the land cools faster than the oceans and the air over the land has higher pressure than air over the ocean. This causes the air over the land to flow to the ocean. When humid air rises over the ocean, it cools, and this causes precipitation over the oceans. (The cool air then flows towards the land to complete the cycle.)",70
climate_processes,wikipedia,Monsoon,Monsoon_7,"Most summer monsoons have a dominant westerly component and a strong tendency to ascend and produce copious amounts of rain (because of the condensation of water vapor in the rising air). The intensity and duration, however, are not uniform from year to year. Winter monsoons, by contrast, have a dominant easterly component and a strong tendency to diverge, subside and cause drought.","Most summer monsoons have a dominant westerly component and a strong tendency to ascend and produce copious amounts of rain (because of the condensation of water vapor in the rising air). The intensity and duration, however, are not uniform from year to year. Winter monsoons, by contrast, have a dominant easterly component and a strong tendency to diverge, subside and cause drought.",62
climate_processes,wikipedia,Monsoon,Monsoon_8,"Similar rainfall is caused when moist ocean air is lifted upwards by mountains, surface heating, convergence at the surface, divergence aloft, or from storm-produced outflows at the surface. However the lifting occurs, the air cools due to expansion in lower pressure, and this produces condensation.","Similar rainfall is caused when moist ocean air is lifted upwards by mountains, surface heating, convergence at the surface, divergence aloft, or from storm-produced outflows at the surface. However the lifting occurs, the air cools due to expansion in lower pressure, and this produces condensation.",45
climate_processes,wikipedia,Monsoon,Monsoon_9,"The monsoon of western Sub-Saharan Africa is the result of the seasonal shifts of the Intertropical Convergence Zone and the great seasonal temperature and humidity differences between the Sahara and the equatorial Atlantic Ocean. The ITCZ migrates northward from the equatorial Atlantic in February, reaches western Africa on or near June 22, then moves back to the south by October. The dry, northeasterly trade winds, and their more extreme form, the harmattan, are interrupted by the northern shift in the ITCZ and resultant southerly, rain-bearing winds during the summer. The semiarid Sahel and Sudan depend upon this pattern for most of their precipitation.","The monsoon of western Sub-Saharan Africa is the result of the seasonal shifts of the Intertropical Convergence Zone and the great seasonal temperature and humidity differences between the Sahara and the equatorial Atlantic Ocean. The ITCZ migrates northward from the equatorial Atlantic in February, reaches western Africa on or near June 22, then moves back to the south by October. The dry, northeasterly trade winds, and their more extreme form, the harmattan, are interrupted by the northern shift in the ITCZ and resultant southerly, rain-bearing winds during the summer. The semiarid Sahel and Sudan depend upon this pattern for most of their precipitation.",103
